City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Fonte Boa,BR,2021-12-09 21:39:10,-2.4959,-66.2662,79.41,91,100,1.7
68,Mao,ES,2021-12-09 21:39:11,39.8885,4.2658,54.16,71,75,5.75
69,Bubaque,GW,2021-12-09 21:39:11,11.2833,-15.8333,81.99,70,4,13.8
70,Ushuaia,AR,2021-12-09 21:37:59,-54.8,-68.3,58.66,38,40,23.02
71,Teguise,ES,2021-12-09 21:39:12,29.0605,-13.564,61.02,72,40,25.32
72,Puerto Ayora,EC,2021-12-09 21:39:12,-0.7393,-90.3518,71.56,95,95,3.0
73,Brae,GB,2021-12-09 21:39:13,60.3964,-1.353,46.31,78,100,24.81
74,Plaster Rock,CA,2021-12-09 21:39:13,46.9065,-67.39,13.95,77,37,7.45
75,Nikolskoye,RU,2021-12-09 21:39:14,59.7035,30.7861,0.01,99,85,4.12
76,Avarua,CK,2021-12-09 21:39:14,-21.2078,-159.775,78.85,83,90,6.91
77,Tuktoyaktuk,CA,2021-12-09 21:39:15,69.4541,-133.0374,-7.6,84,20,2.3
78,Emba,KZ,2021-12-09 21:39:16,48.8264,58.1442,26.8,46,100,16.33
79,Bethel,US,2021-12-09 21:39:18,41.3712,-73.414,36.05,64,75,0.0
80,Pizarro,CO,2021-12-09 21:39:19,4.9533,-77.366,78.17,92,70,10.69
81,Upernavik,GL,2021-12-09 21:39:20,72.7868,-56.1549,2.55,100,93,9.04
82,Dakar,SN,2021-12-09 21:39:20,14.6937,-17.4441,74.28,83,0,9.22
83,Odweyne,SO,2021-12-09 21:39:22,9.4092,45.064,60.82,30,0,12.86
84,Ponta Delgada,PT,2021-12-09 21:39:23,37.7333,-25.6667,59.5,82,20,5.75
85,Port Macquarie,AU,2021-12-09 21:38:23,-31.4333,152.9167,73.89,52,3,7.81
86,Severnoye,RU,2021-12-09 21:39:23,56.3491,78.3619,11.08,94,100,9.28
87,Nakhon Phanom,TH,2021-12-09 21:39:24,17.3333,104.4167,61.5,93,94,4.07
88,Mackenzie,CA,2021-12-09 21:39:25,55.2999,-123.1698,19.62,86,1,3.44
89,Martapura,ID,2021-12-09 21:39:26,-3.4167,114.85,75.29,100,90,3.44
90,Bredasdorp,ZA,2021-12-09 21:39:26,-34.5322,20.0403,64.27,88,100,11.77
91,Hasaki,JP,2021-12-09 21:39:27,35.7333,140.8333,41.4,67,100,16.28
92,Mubende,UG,2021-12-09 21:39:28,0.5606,31.39,61.74,97,5,0.94
93,Castro,BR,2021-12-09 21:39:28,-24.7911,-50.0119,62.64,49,0,3.6
